Category: All categories

Week,flat earth: (United States)
2020-11-29,43
2020-12-06,42
2020-12-13,44
2020-12-20,44
2020-12-27,42
2021-01-03,39
2021-01-10,47
2021-01-17,42
2021-01-24,46
2021-01-31,47
2021-02-07,40
2021-02-14,44
2021-02-21,45
2021-02-28,44
2021-03-07,38
2021-03-14,37
2021-03-21,38
2021-03-28,41
2021-04-04,41
2021-04-11,42
2021-04-18,50
2021-04-25,48
2021-05-02,44
2021-05-09,45
2021-05-16,45
2021-05-23,45
2021-05-30,46
2021-06-06,43
2021-06-13,49
2021-06-20,47
2021-06-27,44
2021-07-04,45
2021-07-11,43
2021-07-18,46
2021-07-25,43
2021-08-01,39
2021-08-08,42
2021-08-15,44
2021-08-22,46
2021-08-29,40
2021-09-05,44
2021-09-12,50
2021-09-19,46
2021-09-26,46
2021-10-03,47
2021-10-10,60
2021-10-17,48
2021-10-24,45
2021-10-31,40
2021-11-07,41
2021-11-14,42
2021-11-21,41
2021-11-28,42
2021-12-05,39
2021-12-12,36
2021-12-19,42
2021-12-26,36
2022-01-02,43
2022-01-09,46
2022-01-16,46
2022-01-23,47
2022-01-30,45
2022-02-06,51
2022-02-13,51
2022-02-20,50
2022-02-27,50
2022-03-06,43
2022-03-13,43
2022-03-20,44
2022-03-27,48
2022-04-03,49
2022-04-10,50
2022-04-17,57
2022-04-24,56
2022-05-01,52
2022-05-08,56
2022-05-15,62
2022-05-22,50
2022-05-29,51
2022-06-05,49
2022-06-12,45
2022-06-19,45
2022-06-26,43
2022-07-03,46
2022-07-10,50
2022-07-17,45
2022-07-24,44
2022-07-31,44
2022-08-07,46
2022-08-14,55
2022-08-21,65
2022-08-28,59
2022-09-04,63
2022-09-11,51
2022-09-18,53
2022-09-25,50
2022-10-02,49
2022-10-09,54
2022-10-16,55
2022-10-23,51
2022-10-30,60
2022-11-06,56
2022-11-13,54
2022-11-20,44
2022-11-27,52
2022-12-04,50
2022-12-11,52
2022-12-18,45
2022-12-25,41
2023-01-01,45
2023-01-08,47
2023-01-15,44
2023-01-22,50
2023-01-29,54
2023-02-05,57
2023-02-12,51
2023-02-19,55
2023-02-26,53
2023-03-05,52
2023-03-12,47
2023-03-19,51
2023-03-26,55
2023-04-02,48
2023-04-09,49
2023-04-16,57
2023-04-23,61
2023-04-30,63
2023-05-07,61
2023-05-14,60
2023-05-21,59
2023-05-28,61
2023-06-04,53
2023-06-11,48
2023-06-18,57
2023-06-25,56
2023-07-02,57
2023-07-09,61
2023-07-16,59
2023-07-23,57
2023-07-30,55
2023-08-06,52
2023-08-13,56
2023-08-20,58
2023-08-27,74
2023-09-03,66
2023-09-10,61
2023-09-17,65
2023-09-24,60
2023-10-01,60
2023-10-08,59
2023-10-15,60
2023-10-22,62
2023-10-29,66
2023-11-05,64
2023-11-12,61
2023-11-19,67
2023-11-26,66
2023-12-03,70
2023-12-10,67
2023-12-17,67
2023-12-24,66
2023-12-31,66
2024-01-07,66
2024-01-14,57
2024-01-21,63
2024-01-28,60
2024-02-04,56
2024-02-11,52
2024-02-18,63
2024-02-25,61
2024-03-03,62
2024-03-10,73
2024-03-17,60
2024-03-24,63
2024-03-31,62
2024-04-07,100
2024-04-14,62
2024-04-21,60
2024-04-28,55
2024-05-05,57
2024-05-12,58
2024-05-19,57
2024-05-26,62
2024-06-02,51
2024-06-09,51
2024-06-16,50
2024-06-23,53
2024-06-30,49
2024-07-07,51
2024-07-14,42
2024-07-21,46
2024-07-28,40
2024-08-04,42
2024-08-11,45
2024-08-18,54
2024-08-25,54
2024-09-01,52
2024-09-08,56
2024-09-15,57
2024-09-22,53
2024-09-29,50
2024-10-06,60
2024-10-13,59
2024-10-20,56
2024-10-27,48
2024-11-03,43
2024-11-10,59
2024-11-17,63
2024-11-24,58
2024-12-01,52
2024-12-08,57
2024-12-15,66
2024-12-22,55
2024-12-29,49
2025-01-05,50
2025-01-12,64
2025-01-19,52
2025-01-26,56
2025-02-02,48
2025-02-09,48
2025-02-16,49
2025-02-23,50
2025-03-02,49
2025-03-09,58
2025-03-16,56
2025-03-23,52
2025-03-30,49
2025-04-06,50
2025-04-13,56
2025-04-20,58
2025-04-27,48
2025-05-04,49
2025-05-11,53
2025-05-18,47
2025-05-25,51
2025-06-01,45
2025-06-08,44
2025-06-15,42
2025-06-22,43
2025-06-29,44
2025-07-06,47
2025-07-13,48
2025-07-20,47
2025-07-27,57
2025-08-03,51
2025-08-10,62
2025-08-17,58
2025-08-24,59
2025-08-31,62
2025-09-07,57
2025-09-14,55
2025-09-21,60
2025-09-28,58
2025-10-05,56
2025-10-12,54
2025-10-19,52
2025-10-26,50
2025-11-02,54
2025-11-09,55
2025-11-16,54
2025-11-23,50
2025-11-30,50
