Category: All categories

Week,mandela effect: (United States),froot loops: (United States)
2020-11-29,34,5
2020-12-06,35,7
2020-12-13,46,5
2020-12-20,43,5
2020-12-27,36,5
2021-01-03,34,9
2021-01-10,42,15
2021-01-17,41,11
2021-01-24,45,10
2021-01-31,46,12
2021-02-07,44,7
2021-02-14,42,6
2021-02-21,43,6
2021-02-28,40,10
2021-03-07,34,7
2021-03-14,26,7
2021-03-21,26,9
2021-03-28,24,6
2021-04-04,25,7
2021-04-11,24,6
2021-04-18,40,8
2021-04-25,29,8
2021-05-02,36,5
2021-05-09,37,7
2021-05-16,32,6
2021-05-23,34,7
2021-05-30,31,7
2021-06-06,28,6
2021-06-13,25,7
2021-06-20,26,8
2021-06-27,29,7
2021-07-04,29,8
2021-07-11,29,7
2021-07-18,34,6
2021-07-25,34,7
2021-08-01,28,6
2021-08-08,27,5
2021-08-15,27,7
2021-08-22,27,6
2021-08-29,26,6
2021-09-05,28,7
2021-09-12,32,7
2021-09-19,25,6
2021-09-26,29,6
2021-10-03,28,9
2021-10-10,33,6
2021-10-17,32,9
2021-10-24,28,7
2021-10-31,27,6
2021-11-07,28,6
2021-11-14,35,6
2021-11-21,37,6
2021-11-28,44,6
2021-12-05,44,6
2021-12-12,40,6
2021-12-19,40,5
2021-12-26,39,7
2022-01-02,48,7
2022-01-09,45,8
2022-01-16,38,8
2022-01-23,52,9
2022-01-30,51,8
2022-02-06,41,7
2022-02-13,37,7
2022-02-20,46,7
2022-02-27,44,7
2022-03-06,44,8
2022-03-13,39,8
2022-03-20,41,8
2022-03-27,43,8
2022-04-03,42,9
2022-04-10,39,8
2022-04-17,36,9
2022-04-24,35,8
2022-05-01,25,8
2022-05-08,20,8
2022-05-15,18,8
2022-05-22,26,8
2022-05-29,24,7
2022-06-05,18,8
2022-06-12,19,7
2022-06-19,24,7
2022-06-26,49,9
2022-07-03,100,10
2022-07-10,87,8
2022-07-17,39,8
2022-07-24,39,8
2022-07-31,27,8
2022-08-07,28,8
2022-08-14,31,10
2022-08-21,28,7
2022-08-28,27,7
2022-09-04,27,8
2022-09-11,26,6
2022-09-18,28,8
2022-09-25,28,7
2022-10-02,24,7
2022-10-09,25,7
2022-10-16,25,7
2022-10-23,26,7
2022-10-30,28,7
2022-11-06,23,7
2022-11-13,24,8
2022-11-20,28,5
2022-11-27,25,6
2022-12-04,28,7
2022-12-11,32,6
2022-12-18,25,7
2022-12-25,29,6
2023-01-01,24,7
2023-01-08,22,8
2023-01-15,21,8
2023-01-22,28,8
2023-01-29,24,9
2023-02-05,26,8
2023-02-12,18,10
2023-02-19,23,8
2023-02-26,24,8
2023-03-05,20,9
2023-03-12,20,8
2023-03-19,29,8
2023-03-26,27,8
2023-04-02,26,8
2023-04-09,21,8
2023-04-16,21,7
2023-04-23,23,8
2023-04-30,20,8
2023-05-07,24,9
2023-05-14,27,8
2023-05-21,26,8
2023-05-28,25,7
2023-06-04,26,7
2023-06-11,27,7
2023-06-18,27,7
2023-06-25,34,8
2023-07-02,31,7
2023-07-09,25,7
2023-07-16,29,8
2023-07-23,34,6
2023-07-30,33,6
2023-08-06,32,8
2023-08-13,29,7
2023-08-20,26,7
2023-08-27,35,7
2023-09-03,25,6
2023-09-10,26,7
2023-09-17,28,7
2023-09-24,25,7
2023-10-01,22,6
2023-10-08,25,6
2023-10-15,30,7
2023-10-22,28,8
2023-10-29,27,7
2023-11-05,25,7
2023-11-12,26,7
2023-11-19,29,7
2023-11-26,42,7
2023-12-03,32,6
2023-12-10,34,7
2023-12-17,43,6
2023-12-24,41,6
2023-12-31,43,6
2024-01-07,37,9
2024-01-14,35,7
2024-01-21,42,8
2024-01-28,29,8
2024-02-04,29,8
2024-02-11,28,7
2024-02-18,32,8
2024-02-25,36,8
2024-03-03,31,8
2024-03-10,34,8
2024-03-17,36,8
2024-03-24,27,7
2024-03-31,29,7
2024-04-07,27,7
2024-04-14,25,8
2024-04-21,25,7
2024-04-28,23,8
2024-05-05,23,9
2024-05-12,25,8
2024-05-19,24,7
2024-05-26,26,8
2024-06-02,23,7
2024-06-09,21,7
2024-06-16,22,14
2024-06-23,21,9
2024-06-30,21,9
2024-07-07,25,8
2024-07-14,27,8
2024-07-21,29,8
2024-07-28,29,7
2024-08-04,31,8
