Category: All categories

Region,chemtrails: (12/4/20 - 12/4/25)
Vermont,100
Idaho,100
New Hampshire,89
Maine,89
Oregon,86
California,86
Montana,83
Oklahoma,81
Tennessee,81
Arizona,81
District of Columbia,81
Utah,81
West Virginia,78
Nevada,78
Illinois,75
New Mexico,75
Florida,75
Wyoming,75
Pennsylvania,75
Missouri,75
South Dakota,72
Iowa,72
Minnesota,72
Rhode Island,72
Connecticut,72
Alaska,72
Wisconsin,72
Kentucky,70
Alabama,70
Arkansas,70
Ohio,70
North Carolina,70
Indiana,67
Washington,67
Colorado,67
Michigan,67
Nebraska,67
South Carolina,67
Kansas,64
Massachusetts,64
Louisiana,64
Mississippi,62
Texas,62
Maryland,62
New York,62
New Jersey,62
Hawaii,59
North Dakota,59
Georgia,56
Delaware,56
Virginia,56
