Category: All categories

Region,climate change hoax: (12/4/20 - 12/4/25)
Delaware,100
District of Columbia,66
Wisconsin,66
Kansas,33
Maine,33
Minnesota,33
Utah,33
Nebraska,33
Arizona,33
Hawaii,33
Oregon,33
Indiana,33
Massachusetts,33
Idaho,33
Washington,33
Connecticut,33
Colorado,33
New Mexico,33
Maryland,33
Illinois,33
Iowa,33
Michigan,33
Oklahoma,33
New Hampshire,33
California,33
Tennessee,33
Florida,33
Arkansas,33
Virginia,33
Pennsylvania,33
North Carolina,33
Missouri,33
New York,33
New Jersey,33
Kentucky,33
Georgia,33
Texas,33
Ohio,33
Nevada,33
South Carolina,33
Louisiana,33
Alabama,33
Mississippi,<1
Alaska,
South Dakota,
Rhode Island,
Vermont,
North Dakota,
Montana,
West Virginia,
Wyoming,
