Category: All categories

Region,mandela Effect froot loops: (12/7/20 - 12/7/25)
Kentucky,<1
Indiana,<1
Utah,<1
Arizona,<1
Connecticut,<1
Texas,<1
Nevada,<1
Georgia,<1
Colorado,<1
Pennsylvania,<1
Oklahoma,<1
California,<1
Michigan,<1
Wisconsin,<1
Ohio,<1
Illinois,<1
Washington,<1
Alabama,<1
Minnesota,<1
South Carolina,<1
Massachusetts,<1
Maryland,<1
New Jersey,<1
North Carolina,<1
Tennessee,<1
Virginia,<1
Florida,<1
New York,<1
Missouri,<1
Alaska,
New Hampshire,
Nebraska,
New Mexico,
North Dakota,
Montana,
Mississippi,
Maine,
Oregon,
Louisiana,
Rhode Island,
Kansas,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
