Category: All categories

Region,9/11 conspiracy: (12/4/20 - 12/4/25)
North Dakota,100
New Hampshire,87
Iowa,87
Rhode Island,87
Nebraska,87
West Virginia,75
District of Columbia,75
Vermont,75
Missouri,75
Massachusetts,75
Utah,75
Alaska,75
Wisconsin,75
Indiana,62
Tennessee,62
Connecticut,62
Pennsylvania,62
Kansas,62
New Jersey,62
Idaho,62
Montana,62
Arizona,62
Minnesota,62
Kentucky,62
Maine,62
Illinois,62
Ohio,62
New York,62
Colorado,62
Oklahoma,62
Washington,62
Mississippi,50
Michigan,50
Delaware,50
Virginia,50
Nevada,50
Arkansas,50
North Carolina,50
Georgia,50
Oregon,50
Louisiana,50
South Dakota,50
South Carolina,50
Maryland,50
Texas,50
Alabama,50
California,37
Hawaii,37
New Mexico,37
Florida,37
Wyoming,
