Category: All categories

Region,Big Pharma conspiracy theory: (12/4/20 - 12/4/25)
District of Columbia,100
Connecticut,83
Rhode Island,83
New Hampshire,83
Vermont,83
Hawaii,75
Massachusetts,75
Pennsylvania,66
South Dakota,66
West Virginia,66
Missouri,66
New Jersey,66
Alaska,66
Iowa,66
Indiana,66
Maryland,66
Oklahoma,66
Washington,66
Minnesota,66
Oregon,66
Wisconsin,66
Virginia,58
New Mexico,58
Maine,58
Utah,58
Arkansas,58
Arizona,58
Tennessee,58
Michigan,58
California,58
Illinois,58
Nevada,58
Kentucky,58
Colorado,58
Ohio,58
North Carolina,58
Idaho,58
Florida,58
Kansas,50
Delaware,50
New York,50
Louisiana,50
South Carolina,50
Georgia,50
Mississippi,50
Nebraska,50
North Dakota,50
Alabama,50
Texas,50
Wyoming,50
Montana,41
