Category: All categories

Region,qanon: (12/4/20 - 12/4/25)
Oregon,100
District of Columbia,97
Washington,96
Colorado,93
Pennsylvania,88
Vermont,88
New Hampshire,88
Montana,87
Arizona,85
Minnesota,85
Michigan,85
Wyoming,83
Massachusetts,82
Iowa,81
Ohio,79
Wisconsin,79
Maine,78
Alaska,78
Connecticut,78
Rhode Island,77
Virginia,77
Illinois,75
Maryland,75
Utah,74
California,74
Oklahoma,72
Missouri,72
Kansas,72
Hawaii,72
North Carolina,70
New Mexico,70
South Dakota,70
Indiana,70
Kentucky,69
New Jersey,69
Delaware,69
Idaho,68
Tennessee,68
West Virginia,67
Georgia,66
Florida,66
Nevada,65
Nebraska,65
New York,64
South Carolina,62
North Dakota,61
Alabama,61
Texas,60
Arkansas,60
Louisiana,55
Mississippi,44
