Category: All categories

Week,big pharma: (United States),cures: (United States)
2020-11-29,9,78
2020-12-06,9,78
2020-12-13,9,74
2020-12-20,7,65
2020-12-27,7,75
2021-01-03,7,71
2021-01-10,6,68
2021-01-17,7,69
2021-01-24,11,74
2021-01-31,7,71
2021-02-07,9,74
2021-02-14,8,71
2021-02-21,6,76
2021-02-28,7,73
2021-03-07,7,76
2021-03-14,5,71
2021-03-21,8,78
2021-03-28,7,80
2021-04-04,7,76
2021-04-11,8,74
2021-04-18,7,72
2021-04-25,8,75
2021-05-02,9,76
2021-05-09,9,75
2021-05-16,10,74
2021-05-23,9,72
2021-05-30,7,77
2021-06-06,9,67
2021-06-13,7,72
2021-06-20,7,72
2021-06-27,6,69
2021-07-04,8,73
2021-07-11,7,75
2021-07-18,7,71
2021-07-25,9,73
2021-08-01,10,74
2021-08-08,10,75
2021-08-15,11,75
2021-08-22,13,79
2021-08-29,10,77
2021-09-05,11,71
2021-09-12,11,72
2021-09-19,12,74
2021-09-26,12,70
2021-10-03,10,72
2021-10-10,11,72
2021-10-17,11,72
2021-10-24,10,70
2021-10-31,12,71
2021-11-07,10,69
2021-11-14,10,71
2021-11-21,10,64
2021-11-28,12,63
2021-12-05,11,69
2021-12-12,11,71
2021-12-19,11,69
2021-12-26,12,71
2022-01-02,14,85
2022-01-09,15,81
2022-01-16,13,74
2022-01-23,14,73
2022-01-30,12,72
2022-02-06,11,75
2022-02-13,13,73
2022-02-20,11,69
2022-02-27,10,71
2022-03-06,15,70
2022-03-13,8,71
2022-03-20,9,73
2022-03-27,9,75
2022-04-03,9,77
2022-04-10,11,100
2022-04-17,9,83
2022-04-24,9,82
2022-05-01,8,79
2022-05-08,10,82
2022-05-15,8,80
2022-05-22,8,74
2022-05-29,7,73
2022-06-05,11,80
2022-06-12,8,76
2022-06-19,8,75
2022-06-26,8,72
2022-07-03,7,73
2022-07-10,6,72
2022-07-17,7,72
2022-07-24,9,73
2022-07-31,8,71
2022-08-07,11,69
2022-08-14,9,72
2022-08-21,8,71
2022-08-28,8,69
2022-09-04,9,70
2022-09-11,8,71
2022-09-18,9,73
2022-09-25,9,70
2022-10-02,8,68
2022-10-09,12,72
2022-10-16,12,67
2022-10-23,10,74
2022-10-30,8,74
2022-11-06,11,67
2022-11-13,9,75
2022-11-20,8,60
2022-11-27,9,72
2022-12-04,8,71
2022-12-11,9,73
2022-12-18,6,63
2022-12-25,7,68
2023-01-01,11,71
2023-01-08,8,78
2023-01-15,8,75
2023-01-22,10,75
2023-01-29,11,81
2023-02-05,14,74
2023-02-12,9,76
2023-02-19,9,76
2023-02-26,11,76
2023-03-05,9,75
2023-03-12,11,73
2023-03-19,10,77
2023-03-26,9,75
2023-04-02,10,73
2023-04-09,9,73
2023-04-16,8,73
2023-04-23,11,72
2023-04-30,9,71
2023-05-07,8,76
2023-05-14,10,72
2023-05-21,10,74
2023-05-28,8,77
2023-06-04,9,68
2023-06-11,8,72
2023-06-18,11,70
2023-06-25,8,72
2023-07-02,8,71
2023-07-09,10,67
2023-07-16,8,64
2023-07-23,8,74
2023-07-30,9,66
2023-08-06,11,68
2023-08-13,14,66
2023-08-20,13,64
2023-08-27,13,65
2023-09-03,11,70
2023-09-10,10,69
2023-09-17,11,72
2023-09-24,11,70
2023-10-01,10,77
2023-10-08,9,66
2023-10-15,10,69
2023-10-22,11,69
2023-10-29,13,68
2023-11-05,10,68
2023-11-12,10,68
2023-11-19,8,60
2023-11-26,11,67
2023-12-03,11,68
2023-12-10,10,69
2023-12-17,8,66
2023-12-24,8,66
2023-12-31,10,72
2024-01-07,9,70
2024-01-14,9,66
2024-01-21,10,70
2024-01-28,11,72
2024-02-04,12,76
2024-02-11,12,68
2024-02-18,9,73
2024-02-25,10,70
2024-03-03,10,73
2024-03-10,10,67
2024-03-17,10,69
2024-03-24,10,94
2024-03-31,9,76
2024-04-07,9,65
2024-04-14,9,65
2024-04-21,10,73
2024-04-28,8,67
2024-05-05,8,68
2024-05-12,6,68
2024-05-19,8,69
2024-05-26,8,67
2024-06-02,9,70
2024-06-09,8,67
2024-06-16,7,67
2024-06-23,8,67
2024-06-30,8,65
2024-07-07,9,67
2024-07-14,9,61
2024-07-21,10,60
2024-07-28,7,63
2024-08-04,9,61
2024-08-11,11,66
2024-08-18,18,63
2024-08-25,14,64
2024-09-01,11,64
2024-09-08,11,63
2024-09-15,10,64
2024-09-22,14,62
2024-09-29,11,65
2024-10-06,10,65
2024-10-13,10,63
2024-10-20,12,71
2024-10-27,14,65
2024-11-03,31,57
2024-11-10,26,69
2024-11-17,15,68
2024-11-24,12,55
2024-12-01,12,71
2024-12-08,12,73
2024-12-15,12,72
2024-12-22,10,62
2024-12-29,9,71
2025-01-05,11,72
2025-01-12,11,78
2025-01-19,15,76
2025-01-26,63,76
2025-02-02,31,75
2025-02-09,23,75
2025-02-16,18,77
2025-02-23,15,73
2025-03-02,14,78
2025-03-09,12,79
2025-03-16,12,77
2025-03-23,13,72
2025-03-30,14,71
2025-04-06,12,76
2025-04-13,10,72
2025-04-20,11,73
2025-04-27,12,72
2025-05-04,11,78
2025-05-11,23,73
2025-05-18,12,68
2025-05-25,10,67
2025-06-01,9,72
2025-06-08,11,66
2025-06-15,10,65
2025-06-22,9,69
2025-06-29,13,72
2025-07-06,11,70
2025-07-13,12,77
2025-07-20,12,76
2025-07-27,14,72
2025-08-03,12,71
2025-08-10,11,70
2025-08-17,10,70
2025-08-24,11,66
2025-08-31,21,76
2025-09-07,16,67
2025-09-14,12,71
2025-09-21,19,77
2025-09-28,14,71
2025-10-05,11,67
2025-10-12,11,68
2025-10-19,10,70
2025-10-26,10,72
2025-11-02,11,71
2025-11-09,14,71
2025-11-16,11,70
2025-11-23,8,62
2025-11-30,8,68
