Category: All categories

Region,covid vaccine side effects: (12/4/20 - 12/4/25)
Pennsylvania,100
West Virginia,91
Connecticut,91
Michigan,91
Wisconsin,90
Illinois,89
Vermont,89
Massachusetts,88
New Jersey,87
Virginia,87
Minnesota,86
Maryland,86
Missouri,86
Ohio,84
New Hampshire,84
Oregon,84
New Mexico,84
Colorado,81
Hawaii,81
Alaska,80
Arizona,80
Kentucky,80
Rhode Island,79
South Dakota,79
Delaware,79
Indiana,78
Washington,78
North Carolina,78
Iowa,78
California,78
Alabama,78
Arkansas,78
Kansas,77
Maine,77
Tennessee,76
North Dakota,76
Nebraska,75
New York,74
Georgia,74
Wyoming,73
Montana,73
Oklahoma,72
Utah,71
Louisiana,71
South Carolina,71
Florida,70
Texas,70
Nevada,68
Mississippi,68
Idaho,66
District of Columbia,60
