Category: All categories

Region,election fraud 2016: (12/4/20 - 12/4/25)
Maine,100
Kansas,100
Utah,<1
Iowa,<1
Minnesota,<1
Wisconsin,<1
Colorado,<1
Nevada,<1
Pennsylvania,<1
Tennessee,<1
Washington,<1
Connecticut,<1
Ohio,<1
Illinois,<1
Missouri,<1
Massachusetts,<1
Oregon,<1
North Carolina,<1
Virginia,<1
Michigan,<1
California,<1
New Jersey,<1
Texas,<1
South Carolina,<1
Maryland,<1
Indiana,<1
Alabama,<1
New York,<1
Florida,<1
Arizona,<1
Georgia,<1
Alaska,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
Oklahoma,
Montana,
Mississippi,
Rhode Island,
Louisiana,
South Dakota,
Kentucky,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
