Category: All categories

Region,flat earth: (12/4/20 - 12/4/25)
Alaska,100
Oklahoma,98
Arkansas,96
Nevada,91
Kentucky,89
Idaho,88
Montana,87
Arizona,85
Wyoming,84
Alabama,83
Tennessee,82
West Virginia,82
Utah,81
Louisiana,80
North Dakota,79
Georgia,78
South Carolina,78
Mississippi,78
Hawaii,78
Washington,76
Oregon,76
North Carolina,76
Indiana,76
Texas,76
South Dakota,75
Colorado,74
Missouri,74
Ohio,74
Minnesota,72
New Mexico,72
Michigan,70
Florida,70
Wisconsin,69
Kansas,68
Maine,67
Iowa,67
Pennsylvania,66
Virginia,64
New Hampshire,63
Nebraska,63
Vermont,62
California,61
Illinois,60
Rhode Island,59
Maryland,59
Delaware,58
Connecticut,52
New Jersey,52
Massachusetts,52
New York,49
District of Columbia,41
