Category: All categories

Region,mandela effect: (12/4/20 - 12/4/25)
Oklahoma,100
Kentucky,93
West Virginia,90
Utah,89
Indiana,88
Tennessee,87
Ohio,86
Idaho,86
Alaska,86
Nevada,86
Texas,86
Missouri,85
Montana,84
Louisiana,84
Arizona,83
Oregon,83
Wyoming,83
Arkansas,83
Colorado,83
New Mexico,82
Washington,79
North Dakota,79
Pennsylvania,79
Rhode Island,78
Michigan,77
Hawaii,77
North Carolina,76
Vermont,76
South Carolina,76
South Dakota,76
Delaware,76
Kansas,75
California,75
Alabama,75
Wisconsin,74
New Hampshire,74
Illinois,74
Georgia,74
Virginia,74
Maine,73
Nebraska,72
Iowa,71
Minnesota,71
Florida,71
Mississippi,70
Maryland,68
Connecticut,67
New Jersey,67
Massachusetts,63
New York,62
District of Columbia,60
