Category: All categories

Region,pizzagate: (12/4/20 - 12/4/25)
District of Columbia,100
Alaska,54
Oklahoma,54
New Hampshire,54
Maine,54
Montana,51
Arizona,51
Missouri,48
Tennessee,48
Maryland,48
Idaho,48
Washington,48
Oregon,48
West Virginia,48
Rhode Island,48
California,48
Connecticut,45
Kentucky,45
Arkansas,45
Nevada,45
Indiana,45
Delaware,45
Colorado,45
Massachusetts,45
Utah,45
Louisiana,45
Michigan,45
Iowa,43
Pennsylvania,43
Texas,43
Minnesota,43
Ohio,43
Mississippi,43
North Dakota,43
South Dakota,43
South Carolina,43
Alabama,43
Virginia,43
Vermont,43
New Jersey,43
Florida,43
Nebraska,40
North Carolina,40
New Mexico,40
Illinois,40
Wisconsin,40
Kansas,40
Wyoming,37
Hawaii,37
Georgia,37
New York,35
