Category: All categories

Week,pizzagate: (United States)
2020-11-29,25
2020-12-06,26
2020-12-13,19
2020-12-20,22
2020-12-27,26
2021-01-03,43
2021-01-10,51
2021-01-17,57
2021-01-24,36
2021-01-31,33
2021-02-07,27
2021-02-14,30
2021-02-21,23
2021-02-28,20
2021-03-07,17
2021-03-14,18
2021-03-21,21
2021-03-28,20
2021-04-04,16
2021-04-11,14
2021-04-18,13
2021-04-25,13
2021-05-02,15
2021-05-09,17
2021-05-16,15
2021-05-23,12
2021-05-30,13
2021-06-06,12
2021-06-13,13
2021-06-20,15
2021-06-27,16
2021-07-04,11
2021-07-11,13
2021-07-18,13
2021-07-25,12
2021-08-01,12
2021-08-08,13
2021-08-15,12
2021-08-22,11
2021-08-29,12
2021-09-05,12
2021-09-12,11
2021-09-19,9
2021-09-26,10
2021-10-03,10
2021-10-10,11
2021-10-17,10
2021-10-24,11
2021-10-31,11
2021-11-07,13
2021-11-14,14
2021-11-21,26
2021-11-28,17
2021-12-05,15
2021-12-12,13
2021-12-19,11
2021-12-26,14
2022-01-02,14
2022-01-09,12
2022-01-16,12
2022-01-23,11
2022-01-30,9
2022-02-06,12
2022-02-13,13
2022-02-20,12
2022-02-27,11
2022-03-06,12
2022-03-13,10
2022-03-20,25
2022-03-27,17
2022-04-03,15
2022-04-10,14
2022-04-17,13
2022-04-24,17
2022-05-01,12
2022-05-08,13
2022-05-15,11
2022-05-22,10
2022-05-29,10
2022-06-05,8
2022-06-12,11
2022-06-19,12
2022-06-26,12
2022-07-03,12
2022-07-10,13
2022-07-17,13
2022-07-24,11
2022-07-31,17
2022-08-07,19
2022-08-14,15
2022-08-21,15
2022-08-28,15
2022-09-04,17
2022-09-11,15
2022-09-18,14
2022-09-25,13
2022-10-02,12
2022-10-09,9
2022-10-16,12
2022-10-23,13
2022-10-30,22
2022-11-06,9
2022-11-13,12
2022-11-20,17
2022-11-27,22
2022-12-04,29
2022-12-11,21
2022-12-18,12
2022-12-25,21
2023-01-01,18
2023-01-08,10
2023-01-15,15
2023-01-22,21
2023-01-29,9
2023-02-05,10
2023-02-12,11
2023-02-19,9
2023-02-26,9
2023-03-05,9
2023-03-12,11
2023-03-19,12
2023-03-26,16
2023-04-02,15
2023-04-09,12
2023-04-16,12
2023-04-23,12
2023-04-30,12
2023-05-07,12
2023-05-14,11
2023-05-21,14
2023-05-28,12
2023-06-04,14
2023-06-11,12
2023-06-18,16
2023-06-25,13
2023-07-02,14
2023-07-09,20
2023-07-16,17
2023-07-23,33
2023-07-30,31
2023-08-06,14
2023-08-13,12
2023-08-20,12
2023-08-27,11
2023-09-03,15
2023-09-10,8
2023-09-17,9
2023-09-24,13
2023-10-01,10
2023-10-08,9
2023-10-15,9
2023-10-22,8
2023-10-29,8
2023-11-05,9
2023-11-12,14
2023-11-19,55
2023-11-26,100
2023-12-03,26
2023-12-10,21
2023-12-17,21
2023-12-24,15
2023-12-31,27
2024-01-07,23
2024-01-14,16
2024-01-21,9
2024-01-28,11
2024-02-04,9
2024-02-11,9
2024-02-18,9
2024-02-25,10
2024-03-03,11
2024-03-10,10
2024-03-17,12
2024-03-24,21
2024-03-31,10
2024-04-07,9
2024-04-14,9
2024-04-21,11
2024-04-28,6
2024-05-05,9
2024-05-12,10
2024-05-19,15
2024-05-26,8
2024-06-02,8
2024-06-09,11
2024-06-16,9
2024-06-23,9
2024-06-30,7
2024-07-07,9
2024-07-14,9
2024-07-21,10
2024-07-28,7
2024-08-04,31
2024-08-11,12
2024-08-18,14
2024-08-25,7
2024-09-01,8
2024-09-08,10
2024-09-15,15
2024-09-22,29
2024-09-29,22
2024-10-06,12
2024-10-13,10
2024-10-20,20
2024-10-27,14
2024-11-03,25
2024-11-10,11
2024-11-17,10
2024-11-24,10
2024-12-01,9
2024-12-08,12
2024-12-15,7
2024-12-22,11
2024-12-29,7
2025-01-05,56
2025-01-12,23
2025-01-19,11
2025-01-26,8
2025-02-02,9
2025-02-09,16
2025-02-16,11
2025-02-23,12
2025-03-02,22
2025-03-09,20
2025-03-16,13
2025-03-23,10
2025-03-30,7
2025-04-06,9
2025-04-13,10
2025-04-20,6
2025-04-27,6
2025-05-04,10
2025-05-11,16
2025-05-18,19
2025-05-25,18
2025-06-01,12
2025-06-08,10
2025-06-15,10
2025-06-22,9
2025-06-29,9
2025-07-06,13
2025-07-13,28
2025-07-20,24
2025-07-27,16
2025-08-03,13
2025-08-10,10
2025-08-17,9
2025-08-24,11
2025-08-31,11
2025-09-07,14
2025-09-14,11
2025-09-21,13
2025-09-28,11
2025-10-05,9
2025-10-12,8
2025-10-19,9
2025-10-26,7
2025-11-02,11
2025-11-09,12
2025-11-16,20
2025-11-23,10
2025-11-30,8
